id,season,matchday,match,match_date,match_time,home_team,away_team,ft_home_goals,ft_away_goals,result,outcome,my_odds,odds_1xbet,odds_williamhill
1,2005/06,1,NK Domžale-NK Nafta,2005-07-22,16:30:00,NK Domžale,NK Nafta,2,0,2:0 (2:0),1,,,
2,2005/06,1,NK Drava (old)-Rudar Velenje,2005-07-23,16:30:00,NK Drava (old),Rudar Velenje,1,0,1:0 (1:0),1,,,
3,2005/06,1,FC Anet Koper-NK Primorje,2005-07-23,16:30:00,FC Anet Koper,NK Primorje,1,1,1:1 (1:0),0,,,
4,2005/06,1,ND Gorica-Bela Krajina,2005-07-24,19:00:00,ND Gorica,Bela Krajina,4,0,4:0 (3:0),1,,,
5,2005/06,1,NK Publikum Celje-NK Maribor,2005-07-24,19:00:00,NK Publikum Celje,NK Maribor,0,0,0:0 (0:0),0,,,
6,2005/06,2,NK Nafta-NK Publikum Celje,2005-07-30,16:30:00,NK Nafta,NK Publikum Celje,2,1,2:1 (1:1),1,,,
7,2005/06,2,NK Maribor-FC Anet Koper,2005-07-30,19:00:00,NK Maribor,FC Anet Koper,1,2,1:2 (0:1),1,,,
8,2005/06,2,ND Gorica-NK Drava (old),2005-07-30,19:00:00,ND Gorica,NK Drava (old),2,0,2:0 (0:0),1,,,
9,2005/06,2,Bela Krajina-NK Primorje,2005-07-31,16:30:00,Bela Krajina,NK Primorje,1,0,1:0 (0:0),1,,,
10,2005/06,2,Rudar Velenje-NK Domžale,2005-07-31,16:30:00,Rudar Velenje,NK Domžale,0,8,0:8 (0:4),1,,,
11,2005/06,3,NK Domžale-ND Gorica,2005-08-06,16:30:00,NK Domžale,ND Gorica,1,1,1:1 (0:1),0,,,
12,2005/06,3,FC Anet Koper-NK Nafta,2005-08-06,16:30:00,FC Anet Koper,NK Nafta,0,2,0:2 (0:1),1,,,
13,2005/06,3,NK Publikum Celje-Rudar Velenje,2005-08-06,19:00:00,NK Publikum Celje,Rudar Velenje,2,1,2:1 (1:1),1,,,
14,2005/06,3,NK Drava (old)-Bela Krajina,2005-08-07,16:30:00,NK Drava (old),Bela Krajina,3,0,3:0 (1:0),1,,,
15,2005/06,3,NK Primorje-NK Maribor,2005-08-07,16:30:00,NK Primorje,NK Maribor,2,1,2:1 (1:1),1,,,
16,2005/06,4,NK Nafta-NK Primorje,2005-08-13,16:00:00,NK Nafta,NK Primorje,1,0,1:0 (0:0),1,,,
17,2005/06,4,Rudar Velenje-FC Anet Koper,2005-08-13,19:00:00,Rudar Velenje,FC Anet Koper,2,1,2:1 (1:1),1,,,
18,2005/06,4,Bela Krajina-NK Maribor,2005-08-14,16:00:00,Bela Krajina,NK Maribor,2,2,2:2 (0:2),0,,,
19,2005/06,4,NK Drava (old)-NK Domžale,2005-08-14,16:00:00,NK Drava (old),NK Domžale,1,1,1:1 (0:0),0,,,
20,2005/06,4,ND Gorica-NK Publikum Celje,2005-08-14,19:00:00,ND Gorica,NK Publikum Celje,2,1,2:1 (2:1),1,,,
21,2005/06,5,NK Domžale-Bela Krajina,2005-08-20,16:00:00,NK Domžale,Bela Krajina,4,0,4:0 (2:0),1,,,
22,2005/06,5,FC Anet Koper-ND Gorica,2005-08-20,16:00:00,FC Anet Koper,ND Gorica,2,0,2:0 (1:0),1,,,
23,2005/06,5,NK Publikum Celje-NK Drava (old),2005-08-20,19:00:00,NK Publikum Celje,NK Drava (old),2,0,2:0 (0:0),1,,,
24,2005/06,5,NK Maribor-NK Nafta,2005-08-20,19:00:00,NK Maribor,NK Nafta,1,0,1:0 (0:0),1,,,
25,2005/06,5,NK Primorje-Rudar Velenje,2005-08-24,16:00:00,NK Primorje,Rudar Velenje,6,1,6:1 (2:1),1,,,
26,2005/06,6,NK Drava (old)-FC Anet Koper,2005-08-27,16:00:00,NK Drava (old),FC Anet Koper,1,0,1:0 (0:0),1,,,
27,2005/06,6,Rudar Velenje-NK Maribor,2005-08-27,19:00:00,Rudar Velenje,NK Maribor,0,1,0:1 (0:1),1,,,
28,2005/06,6,ND Gorica-NK Primorje,2005-08-27,19:00:00,ND Gorica,NK Primorje,2,0,2:0 (1:0),1,,,
29,2005/06,6,Bela Krajina-NK Nafta,2005-08-28,16:00:00,Bela Krajina,NK Nafta,1,4,1:4 (1:2),1,,,
30,2005/06,6,NK Domžale-NK Publikum Celje,2005-08-29,16:00:00,NK Domžale,NK Publikum Celje,5,0,5:0 (1:0),1,,,
31,2005/06,7,FC Anet Koper-NK Domžale,2005-09-10,15:30:00,FC Anet Koper,NK Domžale,2,2,2:2 (0:1),0,,,
32,2005/06,7,NK Primorje-NK Drava (old),2005-09-10,15:30:00,NK Primorje,NK Drava (old),6,2,6:2 (3:1),1,,,
33,2005/06,7,NK Nafta-Rudar Velenje,2005-09-10,15:30:00,NK Nafta,Rudar Velenje,5,0,5:0 (3:0),1,,,
34,2005/06,7,NK Publikum Celje-Bela Krajina,2005-09-10,18:00:00,NK Publikum Celje,Bela Krajina,0,3,0:3 (0:1),1,,,
35,2005/06,7,NK Maribor-ND Gorica,2005-09-11,18:00:00,NK Maribor,ND Gorica,2,1,2:1 (1:1),1,,,
36,2005/06,8,NK Drava (old)-NK Maribor,2005-09-17,15:30:00,NK Drava (old),NK Maribor,0,3,0:3 (0:1),1,,,
37,2005/06,8,ND Gorica-NK Nafta,2005-09-17,18:00:00,ND Gorica,NK Nafta,2,0,2:0 (0:0),1,,,
38,2005/06,8,NK Publikum Celje-FC Anet Koper,2005-09-17,18:00:00,NK Publikum Celje,FC Anet Koper,3,3,3:3 (2:1),0,,,
39,2005/06,8,Bela Krajina-Rudar Velenje,2005-09-18,15:30:00,Bela Krajina,Rudar Velenje,1,0,1:0 (1:0),1,,,
40,2005/06,8,NK Domžale-NK Primorje,2005-09-18,15:30:00,NK Domžale,NK Primorje,3,0,3:0 (1:0),1,,,
41,2005/06,9,FC Anet Koper-Bela Krajina,2005-09-21,15:30:00,FC Anet Koper,Bela Krajina,2,1,2:1 (1:1),1,,,
42,2005/06,9,NK Primorje-NK Publikum Celje,2005-09-21,15:30:00,NK Primorje,NK Publikum Celje,1,0,1:0 (0:0),1,,,
43,2005/06,9,NK Nafta-NK Drava (old),2005-09-21,15:30:00,NK Nafta,NK Drava (old),1,0,1:0 (1:0),1,,,
44,2005/06,9,Rudar Velenje-ND Gorica,2005-09-21,15:30:00,Rudar Velenje,ND Gorica,1,2,1:2 (0:1),1,,,
45,2005/06,9,NK Maribor-NK Domžale,2005-09-21,19:00:00,NK Maribor,NK Domžale,0,0,0:0 (0:0),0,,,
46,2005/06,10,NK Nafta-NK Domžale,2005-09-24,15:30:00,NK Nafta,NK Domžale,0,1,0:1 (0:1),1,,,
47,2005/06,10,Rudar Velenje-NK Drava (old),2005-09-24,18:00:00,Rudar Velenje,NK Drava (old),0,0,0:0 (0:0),0,,,
48,2005/06,10,NK Maribor-NK Publikum Celje,2005-09-24,18:00:00,NK Maribor,NK Publikum Celje,0,2,0:2 (0:1),1,,,
49,2005/06,10,Bela Krajina-ND Gorica,2005-09-25,15:30:00,Bela Krajina,ND Gorica,1,1,1:1 (0:1),0,,,
50,2005/06,10,NK Primorje-FC Anet Koper,2005-09-25,15:30:00,NK Primorje,FC Anet Koper,2,0,2:0 (2:0),1,,,
51,2005/06,11,NK Drava (old)-ND Gorica,2005-10-01,15:00:00,NK Drava (old),ND Gorica,1,3,1:3 (0:2),1,,,
52,2005/06,11,NK Publikum Celje-NK Nafta,2005-10-01,17:00:00,NK Publikum Celje,NK Nafta,1,3,1:3 (0:2),1,,,
53,2005/06,11,NK Primorje-Bela Krajina,2005-10-02,15:00:00,NK Primorje,Bela Krajina,2,1,2:1 (0:0),1,,,
54,2005/06,11,FC Anet Koper-NK Maribor,2005-10-02,15:00:00,FC Anet Koper,NK Maribor,2,3,2:3 (0:1),1,,,
